region,crop,year,rainfall_mm,avg_temperature_c,humidity_pct,soil_ph,soil_nitrogen_kg_ha,soil_phosphorus_kg_ha,soil_potassium_kg_ha,irrigation_pct_area,fertilizer_kg_ha,farm_area_ha,yield_tonnes_per_ha
North,Rice,2011,1112.9,21.6,71.6,6.44,152.8,26.8,197.8,68.2,63.0,0.68,3.03
West,Cotton,2013,672.6,24.2,82.7,7.51,105.1,61.4,155.4,88.1,92.6,9.06,0.98
West,Wheat,2010,787.2,24.6,53.2,7.3,99.7,35.9,141.3,11.8,276.9,19.1,2.6
Central,Maize,2012,645.5,21.7,71.1,6.69,134.8,72.5,146.7,47.6,179.5,1.58,3.54
North,Sugarcane,2017,694.5,22.6,56.4,7.39,91.6,40.3,167.8,67.6,62.3,2.17,38.38
North,Rice,2017,578.1,30.7,73.9,5.65,97.0,60.6,147.1,89.7,251.0,4.45,2.44
Central,Sugarcane,2017,674.9,30.9,36.4,6.24,98.4,7.5,146.8,38.2,254.1,2.79,45.98
East,Rice,2015,1254.9,25.3,35.3,6.82,112.7,27.4,192.6,31.3,253.8,11.38,2.48
East,Rice,2015,671.1,17.3,54.1,6.4,182.0,40.6,93.3,91.3,154.6,3.3,2.58
East,Cotton,2014,931.6,26.7,46.7,6.3,71.8,14.5,99.9,4.8,163.9,34.06,1.27
Central,Cotton,2022,774.3,31.8,52.2,5.54,165.3,54.0,181.1,48.0,188.3,15.66,1.24
North,Cotton,2018,1194.7,30.8,56.7,4.83,145.8,49.7,246.6,45.9,264.1,18.06,0.92
Central,Soybean,2013,1227.8,27.7,70.8,7.15,174.8,30.1,185.1,14.6,146.7,0.53,1.58
Central,Rice,2019,1116.0,31.1,53.9,6.69,229.8,44.8,224.6,39.5,134.7,1.55,2.49
East,Maize,2024,976.5,24.3,47.6,7.22,170.1,57.1,132.6,72.3,221.7,1.48,3.87
South,Sugarcane,2021,842.2,27.1,54.7,6.15,152.4,13.5,124.5,36.7,252.6,8.92,46.14
North,Cotton,2021,602.0,20.6,48.5,5.93,74.1,25.9,168.3,31.0,176.8,0.5,1.08
East,Cotton,2021,1385.9,25.5,46.0,6.51,78.5,40.0,188.1,78.2,220.2,13.14,1.48
South,Sugarcane,2016,710.1,30.6,35.8,7.18,132.6,45.4,97.5,98.9,186.7,6.34,44.42
South,Sugarcane,2010,1065.9,21.1,61.0,6.31,60.6,44.1,141.5,77.9,164.9,6.68,45.89
West,Rice,2024,1164.9,19.7,51.5,7.14,141.5,58.3,148.9,84.6,130.2,6.17,2.3
North,Cotton,2018,761.2,24.5,74.5,5.69,45.3,52.2,122.8,94.0,110.8,6.13,1.26
South,Sugarcane,2016,1159.5,22.9,38.3,6.37,160.3,55.4,127.5,80.2,143.1,1.76,49.49
East,Soybean,2019,1091.1,27.2,51.9,6.44,108.7,24.2,183.7,98.0,121.4,2.66,2.25
West,Soybean,2021,1332.0,21.7,87.2,7.48,124.4,47.2,168.8,74.7,197.0,5.35,1.71
North,Cotton,2018,782.7,32.6,45.9,6.67,93.8,40.4,181.9,66.2,253.1,9.06,1.46
Central,Sugarcane,2016,578.5,17.6,56.5,7.9,53.6,66.9,163.5,69.3,192.2,2.54,38.14
East,Rice,2011,773.6,30.3,41.8,5.42,163.2,47.6,115.1,90.0,124.8,13.12,2.55
South,Rice,2024,952.2,20.2,39.8,6.6,166.7,35.0,166.9,68.3,231.3,13.31,3.51
South,Rice,2015,914.6,15.0,83.2,6.64,107.7,57.8,111.9,76.1,197.8,2.56,3.04
East,Wheat,2019,801.6,25.2,62.6,7.0,143.2,53.4,137.5,21.6,209.7,6.57,1.88
South,Cotton,2021,422.7,22.7,62.0,5.85,106.3,32.7,108.6,91.3,148.8,3.43,1.11
West,Rice,2020,1017.6,18.5,34.6,7.85,130.1,39.8,125.6,44.7,248.0,1.69,2.6
North,Soybean,2013,1393.1,15.6,65.4,6.51,146.6,40.0,153.6,16.1,247.7,13.12,1.86
West,Sugarcane,2012,1016.1,24.0,77.4,5.63,139.4,63.4,131.7,80.0,169.0,38.12,46.42
South,Maize,2011,1052.3,28.9,77.2,6.49,166.9,48.0,114.7,35.6,223.1,6.67,4.24
Central,Maize,2015,1043.1,26.9,70.0,6.25,138.2,55.9,195.5,18.4,246.1,19.62,4.65
North,Rice,2017,999.3,24.3,43.1,8.73,121.0,37.6,145.2,25.6,152.1,8.22,2.3
North,Maize,2015,1132.9,26.4,64.7,7.34,93.4,50.0,128.9,3.5,175.1,6.67,3.56
East,Maize,2018,998.8,23.9,70.0,6.54,103.3,64.6,106.7,9.1,184.8,5.23,4.73
East,Wheat,2023,821.8,16.9,33.1,6.41,148.4,39.6,75.1,59.3,114.1,2.15,2.1
Central,Soybean,2014,701.0,16.9,43.2,7.26,67.4,46.7,141.1,86.6,206.5,0.7,1.66
North,Soybean,2011,837.8,23.0,73.3,7.3,158.7,24.6,94.9,44.9,241.4,4.67,1.77
Central,Wheat,2017,978.5,23.2,73.1,4.17,110.2,33.5,178.5,62.6,171.4,6.59,1.97
East,Wheat,2018,821.0,28.3,36.8,7.01,91.3,40.0,151.2,81.0,200.4,5.7,2.24
East,Maize,2023,978.6,27.8,71.9,6.52,81.5,29.1,212.3,35.7,263.9,9.51,4.6
North,Cotton,2019,1009.8,27.0,61.4,5.45,143.6,64.8,158.9,65.4,155.7,1.71,1.35
West,Sugarcane,2013,1108.3,22.6,71.7,7.2,119.5,32.4,120.9,35.0,201.6,3.5,46.63
South,Sugarcane,2015,1220.7,17.1,50.5,8.3,175.6,56.8,74.8,64.3,145.8,4.3,32.99
East,Maize,2024,919.5,26.1,69.7,6.95,75.8,47.8,182.3,21.8,144.2,1.65,3.67
East,Sugarcane,2020,573.1,26.6,72.7,7.38,99.8,45.5,98.0,97.8,200.5,18.96,43.6
West,Wheat,2019,813.7,12.1,54.7,7.94,116.8,67.3,133.7,7.6,194.5,9.15,1.46
West,Soybean,2017,911.0,19.8,60.3,5.84,93.7,11.1,217.0,50.5,213.3,0.77,2.16
Central,Sugarcane,2018,441.1,20.5,50.3,5.01,120.2,42.1,174.4,28.6,184.6,9.98,31.88
Central,Maize,2021,1247.2,24.6,84.8,7.03,131.2,28.8,165.6,60.1,207.9,6.35,4.43
South,Cotton,2014,935.6,20.0,58.2,6.3,137.0,15.6,187.8,42.8,279.9,5.94,1.39
South,Maize,2021,995.3,23.8,46.2,5.4,172.7,27.1,186.3,30.7,243.6,36.67,4.38
North,Rice,2015,1241.4,22.9,49.3,6.44,74.4,45.3,213.2,25.0,200.3,7.7,3.03
Central,Maize,2020,742.5,23.2,61.9,7.08,131.8,34.1,125.9,18.2,210.3,18.16,3.85
East,Wheat,2013,1043.5,20.4,71.3,6.38,97.4,58.4,134.9,78.3,162.1,19.59,2.56
Central,Soybean,2014,872.5,20.8,40.0,5.87,135.1,41.8,113.1,22.2,170.4,0.86,1.79
East,Soybean,2016,854.0,18.6,87.7,6.32,135.1,40.1,148.7,77.4,209.5,0.5,1.99
West,Sugarcane,2018,707.0,25.9,64.6,6.48,85.5,40.2,144.7,48.5,185.3,4.57,47.53
Central,Wheat,2019,1316.4,26.9,67.0,4.96,88.5,43.5,79.8,7.2,227.6,11.73,1.93
West,Rice,2020,806.1,20.1,58.5,6.39,137.9,38.7,123.8,16.5,256.0,13.91,2.76
South,Wheat,2022,1074.9,31.6,60.3,5.42,120.8,32.2,207.6,89.3,173.9,12.39,1.89
South,Maize,2015,431.2,22.4,57.8,7.03,112.3,59.8,159.8,60.3,59.4,4.74,2.98
North,Wheat,2023,1195.0,31.7,75.3,5.25,143.0,35.6,178.6,18.4,302.1,11.09,1.72
Central,Wheat,2015,1163.1,20.8,59.9,7.31,145.6,39.2,145.2,70.4,140.9,10.15,1.85
West,Rice,2017,924.4,13.9,71.5,6.17,101.5,51.4,74.5,82.3,191.7,3.01,3.22
East,Maize,2020,843.3,26.0,53.5,6.07,90.2,49.8,144.9,33.1,223.6,1.48,4.67
South,Cotton,2013,1000.0,25.2,62.9,6.74,75.8,31.6,191.7,55.7,264.5,7.77,1.55
South,Cotton,2012,1472.2,24.2,47.9,5.81,121.2,56.3,102.6,29.3,288.4,9.04,1.39
East,Soybean,2023,459.2,20.8,78.2,6.72,70.2,53.1,179.9,8.0,158.2,6.71,1.63
West,Sugarcane,2016,1095.5,23.8,47.5,5.91,123.5,47.7,81.9,40.0,251.4,1.92,54.95
West,Wheat,2014,672.1,21.4,55.1,6.05,162.6,38.5,150.8,75.1,191.9,2.59,2.29
Central,Soybean,2011,895.0,22.5,55.3,6.82,107.6,38.9,171.8,45.9,344.6,9.86,2.47
Central,Rice,2011,838.0,28.2,54.7,5.59,101.2,42.0,137.5,40.5,246.0,26.29,3.01
North,Cotton,2020,792.9,24.9,70.8,5.49,189.9,26.5,248.9,36.6,169.4,23.18,1.24
South,Wheat,2015,897.4,27.0,55.3,6.7,172.8,44.4,130.3,45.9,132.4,5.87,1.98
Central,Rice,2017,616.5,22.8,80.9,6.48,93.2,58.4,126.9,31.8,22.4,17.41,2.59
West,Sugarcane,2010,1157.3,22.3,47.7,6.63,124.9,58.1,158.2,61.2,220.5,0.5,63.77
East,Rice,2024,451.5,18.2,62.5,6.76,131.5,39.3,119.8,6.4,240.5,15.8,2.06
West,Wheat,2020,1034.9,22.1,48.4,6.55,127.1,61.0,92.3,80.7,224.7,5.17,2.98
South,Sugarcane,2015,818.4,7.4,66.3,6.99,183.5,73.6,106.1,17.3,38.8,12.17,31.55
West,Rice,2021,607.3,21.0,59.8,6.58,123.1,40.3,180.3,63.3,104.5,0.5,2.75
North,Sugarcane,2011,950.6,23.6,57.7,4.89,128.3,55.4,137.8,45.0,208.8,16.23,47.82
South,Wheat,2011,510.8,26.8,77.8,5.1,144.1,11.1,218.1,77.3,287.1,7.23,1.88
East,Wheat,2016,909.9,22.7,50.2,8.04,161.6,26.1,132.4,82.6,176.7,2.2,2.32
North,Sugarcane,2019,544.3,25.7,68.8,6.5,152.8,46.4,178.4,20.4,245.5,3.42,47.81
South,Maize,2010,1015.3,13.1,48.5,7.26,138.8,29.9,170.4,67.7,117.9,1.79,3.45
East,Soybean,2015,668.9,23.7,61.7,6.22,65.4,75.6,131.8,19.0,192.4,4.42,1.67
North,Rice,2023,787.3,15.6,42.1,6.45,102.9,54.0,114.8,12.4,163.5,3.2,2.26
North,Rice,2016,973.5,18.0,50.1,6.14,148.7,59.5,80.7,93.0,251.3,6.12,3.34
South,Maize,2023,706.9,23.1,58.8,8.47,128.8,44.6,172.1,16.4,147.6,13.49,2.74
Central,Maize,2017,885.5,30.4,87.2,6.7,148.9,30.0,197.9,22.8,280.6,32.26,4.17
North,Maize,2016,521.5,25.9,61.5,6.07,186.1,37.2,86.4,13.0,161.5,2.32,3.17
North,Cotton,2015,1057.7,24.1,84.8,5.18,78.8,48.8,135.2,47.0,115.8,0.9,1.12
East,Cotton,2018,1341.2,23.9,63.3,8.08,159.8,35.4,123.3,92.0,117.8,4.03,1.01
West,Sugarcane,2022,1598.1,20.4,54.2,6.37,108.4,55.1,172.1,26.4,142.7,1.24,37.15
South,Cotton,2012,922.8,21.3,83.1,7.1,152.7,55.7,136.9,54.2,202.2,14.38,1.21
South,Wheat,2020,1097.1,26.1,66.6,7.18,118.6,45.1,202.9,41.1,143.4,5.56,2.26
Central,Sugarcane,2015,454.8,17.1,50.4,6.13,194.4,17.6,134.6,33.6,130.8,7.74,35.36
Central,Rice,2013,1275.7,27.0,67.1,7.04,124.6,70.7,100.5,57.2,233.4,1.31,2.65
South,Soybean,2011,1094.1,22.1,55.6,6.02,97.6,41.8,131.2,55.9,0.0,11.08,1.66
Central,Wheat,2010,779.0,28.1,30.2,5.71,134.7,85.6,135.7,35.9,154.2,29.07,1.86
East,Rice,2021,1209.3,28.8,74.0,7.43,131.3,54.8,171.0,85.1,99.9,5.27,2.66
South,Rice,2021,836.4,15.6,76.4,6.37,159.8,41.9,135.1,5.3,127.9,26.26,2.4
Central,Sugarcane,2023,785.5,21.1,87.6,6.91,135.7,51.7,167.6,8.5,194.6,0.5,47.4
South,Maize,2010,1018.8,19.7,66.3,6.83,206.6,14.7,118.4,99.1,167.7,0.5,4.44
West,Maize,2020,634.2,14.9,56.3,7.01,116.1,60.4,138.2,74.8,162.3,25.75,3.45
North,Wheat,2019,1155.4,18.8,72.5,5.25,116.5,83.5,118.6,80.4,251.4,9.64,2.45
South,Maize,2012,636.0,36.2,72.7,6.03,98.9,13.7,116.1,60.3,179.2,1.67,3.59
North,Rice,2013,637.5,27.0,84.6,6.24,123.0,40.7,201.0,42.0,288.4,3.62,3.35
Central,Maize,2011,672.6,33.6,59.3,5.83,128.1,43.4,121.4,62.9,222.7,5.67,3.57
North,Cotton,2022,1089.9,28.1,57.5,6.84,129.8,58.1,136.1,9.3,122.0,9.7,1.02
South,Maize,2021,745.8,20.3,49.3,7.45,122.4,76.6,191.8,75.8,296.0,14.76,3.41
West,Rice,2020,563.0,22.1,68.1,7.58,98.7,50.7,180.0,54.1,196.7,0.69,2.47
Central,Sugarcane,2020,748.6,26.9,36.8,6.23,89.1,77.1,215.6,95.7,292.3,8.55,53.9
South,Wheat,2023,892.0,26.2,71.6,6.73,106.9,47.6,169.3,63.7,164.0,5.18,2.31
Central,Soybean,2020,604.8,21.1,68.8,6.86,160.0,51.8,126.0,15.2,196.3,7.28,1.66
East,Maize,2010,612.1,16.5,68.8,7.0,167.5,49.9,232.3,47.8,205.9,5.68,3.61
North,Rice,2013,1427.8,40.4,62.1,5.8,117.3,63.3,173.3,5.8,169.9,4.79,1.68
East,Soybean,2024,684.9,23.3,83.0,7.96,87.0,38.7,143.8,74.5,256.3,1.84,1.95
South,Soybean,2016,819.2,22.4,73.1,7.24,117.2,57.3,152.3,50.2,296.0,5.11,2.11
West,Cotton,2019,808.2,24.6,50.9,7.26,193.2,26.5,157.2,37.0,42.4,1.68,1.03
Central,Soybean,2020,794.7,22.8,51.2,7.46,155.0,40.7,140.5,96.9,228.9,0.5,2.33
North,Sugarcane,2015,1055.3,24.6,46.8,6.93,139.3,35.4,95.0,94.1,126.3,3.74,51.17
Central,Rice,2015,1137.0,30.4,68.3,5.68,153.7,46.3,215.1,95.3,24.4,0.5,2.21
South,Rice,2020,823.5,23.4,45.0,6.39,173.9,40.3,149.1,22.1,211.0,6.61,3.22
Central,Maize,2018,590.9,18.2,76.3,5.18,79.6,62.0,157.3,72.9,211.2,0.6,3.75
North,Maize,2023,1218.6,23.2,79.8,6.83,106.3,31.8,233.1,94.5,220.8,4.6,4.6
South,Maize,2024,876.2,21.7,46.8,6.36,101.5,19.0,122.7,57.1,202.3,31.35,4.55
Central,Sugarcane,2011,1332.6,31.1,57.2,6.47,140.5,24.6,176.2,21.4,232.5,0.5,43.46
West,Soybean,2013,338.6,29.9,60.2,7.46,125.6,59.9,118.3,81.8,143.8,3.66,1.35
South,Soybean,2014,948.9,24.5,73.3,6.13,146.5,30.5,162.8,88.0,195.8,8.95,2.13
South,Cotton,2010,1379.7,17.6,84.1,6.3,102.3,51.0,158.1,70.3,221.9,1.38,1.21
West,Sugarcane,2017,811.7,17.9,34.7,6.52,168.0,40.6,181.6,29.4,261.2,6.58,56.18
East,Maize,2017,843.6,24.1,55.2,5.03,117.6,57.4,198.3,19.1,182.6,2.39,3.28
North,Wheat,2015,973.9,25.7,56.0,6.29,144.3,41.5,126.8,62.4,167.2,2.02,2.24
East,Cotton,2021,760.3,22.1,39.0,4.51,161.8,86.5,206.7,48.3,176.7,18.03,1.02
Central,Wheat,2014,822.0,21.6,52.7,6.03,159.0,73.5,209.5,66.9,108.4,1.82,2.32
West,Soybean,2017,815.5,21.0,66.4,7.18,132.6,40.3,140.0,11.2,226.2,3.78,1.96
East,Cotton,2012,743.1,23.9,55.8,6.86,148.7,38.2,149.7,13.6,92.6,1.49,1.0
South,Cotton,2012,1207.2,12.1,36.8,6.02,181.0,92.0,130.2,36.3,203.5,2.67,1.17
Central,Rice,2011,1015.3,18.5,100.0,6.53,138.0,28.8,137.8,25.9,185.1,2.78,3.44
Central,Soybean,2014,962.7,20.9,64.0,5.64,94.5,44.2,101.9,61.9,86.9,3.17,1.56
East,Soybean,2012,1102.1,30.0,61.7,6.5,140.4,45.3,181.1,36.8,90.4,8.2,1.63
East,Sugarcane,2012,833.9,19.9,43.5,8.84,118.7,45.0,68.0,68.4,128.8,10.86,29.7
West,Cotton,2024,706.4,24.9,63.9,7.98,37.8,18.9,122.1,76.9,159.4,5.72,1.29
North,Soybean,2015,749.3,25.1,57.5,6.54,136.2,52.4,148.2,18.7,268.8,7.54,1.84
East,Cotton,2017,900.4,30.5,31.7,6.63,124.1,30.4,202.0,92.0,173.4,13.42,1.33
East,Sugarcane,2011,635.2,30.3,43.9,5.72,160.5,66.5,128.2,78.7,212.8,61.84,45.33
South,Sugarcane,2013,774.9,23.7,71.9,5.86,93.7,23.2,167.1,62.7,256.0,4.88,49.47
Central,Rice,2020,771.0,21.6,89.2,6.79,67.3,45.9,146.8,90.9,244.4,22.05,3.08
North,Cotton,2016,1431.1,20.7,65.5,6.08,125.9,11.8,187.8,26.6,179.6,5.39,1.12
South,Soybean,2010,206.5,22.8,76.5,7.22,133.3,12.7,165.0,42.2,137.7,12.19,1.61
West,Soybean,2010,855.1,21.8,57.7,7.76,123.3,32.4,183.2,8.6,209.9,6.81,1.62
West,Cotton,2021,1331.4,26.8,58.7,6.77,120.7,34.5,128.0,45.6,138.9,17.24,1.15
East,Cotton,2022,930.5,26.1,76.4,6.58,82.6,67.0,109.4,50.6,288.9,4.76,1.48
East,Cotton,2019,1088.4,27.0,84.9,5.16,115.1,44.4,164.7,61.6,232.1,9.52,1.31
West,Maize,2016,925.0,30.3,79.5,7.1,107.8,64.4,130.5,6.4,192.5,5.02,3.8
East,Soybean,2023,733.2,33.3,44.0,5.59,157.5,39.3,151.2,3.2,210.8,15.56,1.37
North,Sugarcane,2016,339.5,24.6,59.0,6.17,133.3,54.1,162.7,42.0,190.7,41.44,42.55
East,Soybean,2010,951.4,29.5,64.2,7.27,110.3,34.1,199.7,18.9,157.9,2.23,1.56
Central,Maize,2010,706.1,22.2,56.1,7.32,180.3,33.1,181.5,75.9,209.9,5.14,3.36
East,Cotton,2013,699.9,29.9,65.8,6.13,110.6,17.7,122.8,66.9,165.4,0.68,1.23
South,Rice,2014,775.3,29.3,72.3,6.17,139.5,50.0,104.2,32.6,296.2,1.22,3.58
North,Cotton,2014,1336.2,29.0,75.0,5.94,114.2,48.9,218.3,4.6,138.4,21.18,0.91
South,Cotton,2013,1501.2,24.5,85.3,5.54,177.1,56.7,86.7,18.2,210.5,6.28,1.11
South,Maize,2017,954.3,20.7,55.1,5.99,123.0,48.2,131.9,69.2,133.0,4.02,4.34
Central,Soybean,2016,783.8,17.0,39.5,5.21,124.1,75.4,175.8,99.0,132.4,8.91,1.52
North,Cotton,2018,605.7,23.8,65.4,7.05,115.1,47.6,215.6,32.6,72.8,6.57,0.91
North,Soybean,2016,1017.1,31.7,88.3,6.82,126.9,59.9,142.4,80.2,204.7,2.73,1.99
North,Wheat,2024,1345.7,22.5,52.8,6.95,162.0,40.1,151.1,86.7,148.1,2.06,2.51
North,Sugarcane,2019,838.2,27.9,70.3,5.74,149.6,31.4,115.0,4.8,245.0,7.14,42.54
North,Soybean,2010,305.3,28.2,70.4,5.54,121.0,55.8,155.1,91.6,204.8,1.67,1.56
Central,Rice,2022,1067.5,22.6,62.9,6.54,179.5,43.7,104.0,46.6,188.9,1.2,2.97
East,Sugarcane,2023,1146.3,30.6,60.1,6.55,150.6,57.5,120.0,96.4,95.4,3.07,43.95
South,Rice,2016,503.5,9.5,46.1,6.38,104.7,50.3,180.6,53.9,215.1,15.81,2.29
North,Cotton,2010,944.1,17.9,25.8,6.27,71.7,33.1,132.7,23.5,140.3,0.5,1.2
East,Sugarcane,2016,1012.8,19.4,43.3,7.87,105.5,61.1,186.7,97.5,94.0,14.33,38.72
East,Soybean,2019,881.7,19.9,54.1,6.84,134.5,31.9,143.9,24.3,205.8,7.76,1.94
South,Sugarcane,2017,702.3,25.7,76.5,8.08,140.9,54.4,95.2,88.2,104.5,0.5,39.0
Central,Cotton,2020,1154.0,25.5,58.5,7.52,167.6,64.2,196.7,17.3,54.5,7.37,1.03
West,Maize,2018,799.2,26.0,52.2,7.86,81.7,39.2,97.4,67.5,257.8,4.44,3.86
West,Rice,2021,528.7,27.0,46.6,5.64,104.6,62.3,125.9,41.1,146.4,14.72,2.17
East,Cotton,2012,387.6,19.2,69.9,6.97,78.8,51.0,142.0,97.2,75.3,19.02,1.13
South,Maize,2024,1215.2,17.9,80.4,6.15,73.1,57.8,190.2,18.5,122.2,2.7,3.3
West,Sugarcane,2013,1054.2,26.0,76.0,5.17,98.0,32.4,128.9,40.9,136.7,12.27,39.67
East,Sugarcane,2013,922.0,20.8,69.1,7.7,132.8,48.2,112.9,64.0,248.7,2.97,42.43
Central,Cotton,2021,789.9,16.1,37.9,6.27,147.0,23.9,156.5,97.8,80.2,2.8,1.04
West,Soybean,2018,767.8,28.9,54.7,5.66,86.8,70.7,141.4,30.4,99.7,1.71,1.37
East,Sugarcane,2022,631.1,31.0,89.2,6.17,91.7,14.8,131.3,39.7,238.8,9.08,44.85
East,Soybean,2016,792.1,31.8,76.8,5.86,57.7,39.7,158.7,46.2,153.0,2.43,1.53
North,Soybean,2012,370.0,24.9,36.9,5.95,127.5,31.0,101.9,25.3,193.7,5.0,1.56
Central,Soybean,2019,716.0,27.1,59.2,6.32,94.4,55.1,81.1,81.7,150.5,13.38,1.65
North,Wheat,2014,822.3,30.8,65.4,7.88,178.2,73.9,235.5,9.2,301.2,12.56,2.25
South,Maize,2016,1052.5,20.8,48.6,5.97,134.3,54.8,154.2,70.5,102.6,15.47,3.54
North,Maize,2017,890.0,29.6,25.4,7.83,114.0,89.4,157.0,53.4,196.9,1.4,3.55
North,Sugarcane,2010,1098.7,25.4,61.5,7.18,97.6,24.3,118.7,24.2,270.2,7.07,48.83
West,Sugarcane,2021,1237.3,28.6,48.2,6.82,67.7,25.5,185.9,49.3,157.5,19.71,42.47
East,Soybean,2011,1164.5,24.9,48.2,7.1,72.1,31.6,128.7,83.0,134.8,0.5,1.76
Central,Wheat,2016,1017.6,30.5,54.7,6.51,98.2,46.8,38.6,44.5,226.0,12.66,2.58
North,Soybean,2020,903.0,25.1,58.0,7.53,95.5,29.6,127.3,12.2,240.2,2.26,1.7
Central,Wheat,2024,654.8,16.6,59.9,6.95,85.0,33.7,138.7,4.1,132.0,8.86,1.77
North,Soybean,2022,1085.0,31.3,46.7,5.17,133.2,54.3,143.2,77.8,267.7,10.11,1.81
South,Rice,2023,1319.9,19.3,56.7,6.74,138.0,26.4,142.0,33.0,183.1,20.78,2.78
North,Rice,2022,985.5,30.3,33.6,7.13,103.9,28.0,124.2,93.1,210.5,5.69,3.27
West,Cotton,2024,1379.3,23.5,64.7,6.27,187.7,39.0,120.3,61.7,269.3,15.08,1.42
East,Soybean,2011,518.6,29.9,17.2,6.6,58.9,40.4,138.1,43.6,226.1,0.5,1.78
South,Sugarcane,2016,611.5,29.7,55.7,6.01,122.0,60.2,84.2,56.4,180.0,4.37,39.68
North,Maize,2024,1113.8,26.2,73.8,5.4,112.3,31.5,71.7,45.7,139.7,4.63,3.87
Central,Cotton,2018,966.1,26.5,44.1,5.26,100.7,34.2,153.9,90.6,342.5,6.18,1.5
South,Sugarcane,2020,1228.4,26.1,70.7,5.27,95.6,53.7,154.6,45.8,132.7,5.25,38.09
South,Rice,2011,896.1,13.9,77.3,7.04,119.8,57.0,185.2,10.4,199.1,27.53,2.34
North,Soybean,2016,683.0,24.6,10.4,4.51,112.1,66.4,139.8,59.7,210.6,0.65,1.46
South,Cotton,2013,846.6,18.4,57.7,5.97,106.3,52.0,102.3,62.3,213.4,2.46,1.52
Central,Soybean,2020,516.8,24.9,16.9,5.89,74.5,47.0,72.4,76.5,307.7,27.69,2.13
South,Rice,2022,617.9,18.3,58.2,6.27,63.4,53.6,114.4,93.3,182.9,4.71,2.81
Central,Cotton,2011,1143.1,18.1,59.9,5.01,109.9,41.0,166.9,44.3,174.3,6.77,1.01
North,Rice,2022,1118.2,32.0,22.8,6.82,105.9,40.9,207.7,35.2,273.1,0.68,3.23
East,Wheat,2016,990.8,29.3,88.9,5.48,113.1,18.4,152.2,49.1,171.8,2.67,2.03
South,Rice,2022,469.7,24.0,64.3,7.41,116.2,58.4,101.5,90.0,232.6,0.5,2.84
East,Soybean,2014,810.4,24.9,47.3,6.0,101.7,48.2,114.8,98.0,191.7,1.18,2.45
Central,Maize,2010,593.8,22.8,82.0,6.42,112.6,56.7,116.1,97.1,235.3,8.03,4.17
South,Rice,2014,1194.1,26.8,33.1,6.5,90.1,5.0,133.8,23.0,223.5,11.54,3.19
West,Sugarcane,2021,754.1,20.6,41.6,6.7,173.3,44.3,194.8,49.7,155.8,16.33,46.05
East,Maize,2021,628.6,29.0,25.5,6.53,92.0,32.2,198.0,25.9,69.4,2.32,3.19
South,Wheat,2012,907.4,22.7,87.0,6.16,107.0,67.5,143.1,36.8,79.6,3.24,2.04
East,Cotton,2016,740.0,21.9,65.0,6.77,94.7,54.2,157.3,3.2,69.6,6.74,0.98
South,Cotton,2015,1270.9,24.1,69.9,6.87,94.1,48.5,118.1,16.1,174.5,0.7,1.26
North,Maize,2017,716.3,21.0,64.5,5.89,120.9,38.5,81.6,39.7,38.8,13.15,2.86
East,Cotton,2022,550.2,25.6,68.6,6.84,116.4,51.0,221.5,36.5,170.4,5.28,0.95
West,Rice,2014,361.8,21.3,61.2,7.45,103.9,31.1,57.1,27.9,188.0,26.94,2.04
West,Maize,2011,892.3,26.3,64.1,7.06,110.1,43.5,76.6,23.0,231.4,1.0,4.0
Central,Soybean,2018,759.5,30.1,61.6,7.25,94.8,36.3,221.9,74.9,210.3,1.14,1.63
South,Rice,2023,542.8,20.4,50.9,6.64,134.1,79.0,150.7,29.5,234.1,3.43,2.78
East,Rice,2020,1197.3,23.3,59.3,5.75,191.9,67.0,105.0,70.7,204.8,1.85,2.84
Central,Rice,2017,1066.8,26.3,64.1,5.85,89.4,60.9,177.3,36.9,160.6,9.54,2.78
East,Soybean,2015,892.9,21.8,61.7,6.76,133.8,22.6,180.9,80.2,173.6,23.47,2.42
South,Wheat,2022,1241.1,26.3,37.8,7.25,121.6,58.0,96.7,16.7,128.9,0.75,2.11
West,Sugarcane,2019,1065.6,26.8,39.8,8.73,143.4,47.8,128.7,15.8,193.7,2.22,37.3
North,Cotton,2016,694.3,29.4,76.2,7.29,144.4,63.4,185.0,68.0,84.9,2.17,1.16
West,Maize,2018,640.2,21.0,55.4,5.56,127.2,49.8,117.3,91.5,244.0,5.69,3.95
Central,Wheat,2016,1104.5,19.3,68.8,5.89,118.6,44.9,161.3,14.3,122.6,4.81,1.93
North,Maize,2012,999.1,22.5,43.6,8.32,104.8,48.5,207.0,7.4,189.2,10.38,3.03
Central,Cotton,2015,942.4,19.2,37.9,6.33,93.2,17.9,54.3,93.5,199.3,10.55,1.63
South,Soybean,2020,688.4,26.8,47.3,6.54,116.6,33.5,136.4,11.7,249.8,6.8,2.22
North,Rice,2022,1052.0,18.2,56.7,5.73,75.0,50.6,160.5,25.0,79.1,7.15,2.43
Central,Rice,2020,711.1,35.7,50.0,7.75,99.2,62.1,78.3,92.9,160.5,14.78,2.42
South,Soybean,2016,874.5,30.5,79.4,6.9,158.7,36.7,128.8,80.3,213.0,4.05,1.53
West,Wheat,2011,1261.7,24.1,62.7,5.88,123.4,44.4,191.8,34.3,285.1,0.5,3.0
South,Wheat,2012,734.8,28.3,87.7,5.7,151.2,21.0,121.8,95.5,177.7,1.92,2.19
